"Kod";"Nazwa";"wypadki ogółem;1999;[szt.]";"wypadki ogółem;2000;[szt.]";"wypadki ogółem;2001;[szt.]";"wypadki ogółem;2002;[szt.]";"wypadki ogółem;2003;[szt.]";"wypadki ogółem;2004;[szt.]";"wypadki ogółem;2005;[szt.]";"wypadki ogółem;2006;[szt.]";"wypadki ogółem;2007;[szt.]";"wypadki ogółem;2008;[szt.]";"wypadki ogółem;2009;[szt.]";"wypadki ogółem;2010;[szt.]";"wypadki ogółem;2011;[szt.]";"wypadki ogółem;2012;[szt.]";"wypadki ogółem;2013;[szt.]";"wypadki ogółem;2014;[szt.]";"wypadki ogółem;2015;[szt.]";"wypadki ogółem;2016;[szt.]";"wypadki ogółem;2017;[szt.]";"wypadki ogółem;2018;[szt.]";"wypadki ogółem;2019;[szt.]";"wypadki ogółem;2020;[szt.]";"wypadki ogółem;2021;[szt.]";"wypadki ogółem;2022;[szt.]";"wypadki ogółem;2023;[szt.]";"wypadki ogółem;2024;[szt.]";
0406000;"Powiat grudziądzki";;;;;;;;;;;;;21;33;18;28;39;29;29;26;17;13;17;12;13;12;
0406012;"Grudziądz (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
0406022;"Gruta (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0406033;"Łasin (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0406043;"Radzyń Chełmiński (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0406052;"Rogóźno (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0406062;"Świecie nad Osą (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0407000;"Powiat inowrocławski";;;;;;;;;;;;;76;98;70;70;62;46;62;62;61;69;85;114;120;123;
0407011;"Inowrocław (1)";;;;;;;;;;;;;;;;;;;;;;;;;49;48;
0407022;"Dąbrowa Biskupia (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0407033;"Gniewkowo (3)";;;;;;;;;;;;;;;;;;;;;;;;;9;7;
0407042;"Inowrocław (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;18;
0407053;"Janikowo (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;9;
0407063;"Kruszwica (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;17;
0407073;"Pakość (3)";;;;;;;;;;;;;;;;;;;;;;;;;8;6;
0407082;"Rojewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0407092;"Złotniki Kujawskie (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;8;
0408000;"Powiat lipnowski";;;;;;;;;;;;;60;40;28;29;17;21;47;51;40;36;30;29;37;30;
0408011;"Lipno (1)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0408022;"Bobrowniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;;
0408023;"Bobrowniki (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
0408032;"Chrostkowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0408043;"Dobrzyń nad Wisłą (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;3;
0408052;"Kikół (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;;
0408053;"Kikół (3)";;;;;;;;;;;;;;;;;;;;;;;;;;5;
0408062;"Lipno (2)";;;;;;;;;;;;;;;;;;;;;;;;;9;6;
0408073;"Skępe (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0408082;"Tłuchowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0408092;"Wielgie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0409000;"Powiat mogileński";;;;;;;;;;;;;19;54;30;38;19;28;20;17;43;34;31;28;26;15;
0409012;"Dąbrowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
0409022;"Jeziora Wielkie (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0409033;"Mogilno (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;10;
0409043;"Strzelno (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0410000;"Powiat nakielski";;;;;;;;;;;;;45;51;57;48;59;70;76;50;52;48;36;47;43;39;
0410013;"Kcynia (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0410023;"Mrocza (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0410033;"Nakło nad Notecią (3)";;;;;;;;;;;;;;;;;;;;;;;;;19;15;
0410042;"Sadki (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0410053;"Szubin (3)";;;;;;;;;;;;;;;;;;;;;;;;;11;14;
0411000;"Powiat radziejowski";;;;;;;;;;;;;17;12;20;15;7;15;18;17;11;9;13;8;8;12;
0411011;"Radziejów (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0411022;"Bytoń (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0411032;"Dobre (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0411042;"Osięciny (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0411053;"Piotrków Kujawski (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0411062;"Radziejów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
0411072;"Topólka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0412000;"Powiat rypiński";;;;;;;;;;;;;28;22;23;16;20;23;26;17;17;13;10;12;10;14;
0412011;"Rypin (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0412022;"Brzuze (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0412032;"Rogowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0412042;"Rypin (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;9;
0412062;"Wąpielsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0413000;"Powiat sępoleński";;;;;;;;;;;;;34;22;27;22;21;17;19;21;17;10;7;13;9;6;
0413013;"Kamień Krajeński (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0413023;"Sępólno Krajeńskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0413032;"Sośno (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0413043;"Więcbork (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0414000;"Powiat świecki";;;;;;;;;;;;;85;54;78;37;42;35;46;44;49;38;43;34;43;25;
0414012;"Bukowiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0414022;"Dragacz (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0414032;"Drzycim (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0414042;"Jeżewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0414052;"Lniano (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
0414063;"Nowe (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0414072;"Osie (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0414083;"Pruszcz (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0414093;"Świecie (3)";;;;;;;;;;;;;;;;;;;;;;;;;14;11;
0414102;"Świekatowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0414112;"Warlubie (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0415000;"Powiat toruński";;;;;;;;;;;;;90;91;46;39;52;36;49;34;45;40;34;28;31;31;
0415011;"Chełmża (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0415022;"Chełmża (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0415032;"Czernikowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0415042;"Lubicz (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0415052;"Łubianka (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0415062;"Łysomice (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0415072;"Obrowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0415082;"Wielka Nieszawka (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;8;
0415092;"Zławieś Wielka (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0416000;"Powiat tucholski";;;;;;;;;;;;;15;25;14;19;18;17;15;15;25;14;18;16;13;9;
0416012;"Cekcyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0416022;"Gostycyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0416032;"Kęsowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0416042;"Lubiewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0416052;"Śliwice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0416063;"Tuchola (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0417000;"Powiat wąbrzeski";;;;;;;;;;;;;25;20;19;15;21;14;11;14;10;16;14;20;9;14;
0417011;"Wąbrzeźno (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0417022;"Dębowa Łąka (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0417032;"Książki (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0417042;"Płużnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;5;
0417052;"Ryńsk (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0418000;"Powiat włocławski";;;;;;;;;;;;;83;63;74;84;68;70;77;73;69;45;47;42;45;37;
0418011;"Kowal (1)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0418022;"Baruchowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0418032;"Boniewo (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0418043;"Brześć Kujawski (3)";;;;;;;;;;;;;;;;;;;;;;;;;13;8;
0418052;"Choceń (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0418063;"Chodecz (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0418072;"Fabianki (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0418083;"Izbica Kujawska (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;1;
0418102;"Lubanie (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0418113;"Lubień Kujawski (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0418123;"Lubraniec (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
0418132;"Włocławek (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;1;
0419000;"Powiat żniński";;;;;;;;;;;;;41;42;32;51;38;44;44;37;42;37;37;28;40;37;
0419013;"Barcin (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0419022;"Gąsawa (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;;
0419023;"Gąsawa (3)";;;;;;;;;;;;;;;;;;;;;;;;;;4;
0419033;"Janowiec Wielkopolski (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;6;
0419043;"Łabiszyn (3)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
0419052;"Rogowo (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;4;
0419063;"Żnin (3)";;;;;;;;;;;;;;;;;;;;;;;;;17;11;
0461000;"Powiat m. Bydgoszcz";;;;;;;;;;;;;243;264;257;209;199;179;134;171;159;139;123;123;119;136;
0461011;"Bydgoszcz (1)";;;;;;;;;;;;;;;;;;;;;;;;;119;136;
0462000;"Powiat m. Grudziądz";;;;;;;;;;;;;33;30;34;29;35;41;34;47;24;19;17;15;20;16;
0462011;"Grudziądz (1)";;;;;;;;;;;;;;;;;;;;;;;;;20;16;
0463000;"Powiat m. Toruń";;;;;;;;;;;;;82;72;41;65;43;66;53;53;36;56;42;43;42;42;
0463011;"Toruń (1)";;;;;;;;;;;;;;;;;;;;;;;;;42;42;
0464000;"Powiat m. Włocławek";;;;;;;;;;;;;41;64;50;49;48;54;29;40;36;33;36;21;22;24;
0464011;"Włocławek (1)";;;;;;;;;;;;;;;;;;;;;;;;;22;24;
0600000;"LUBELSKIE";;3538;2705;3043;2644;2586;2446;2211;2419;2358;2093;1820;1797;1625;1497;1408;1252;1262;1242;1216;1139;931;892;785;794;845;
0601000;"Powiat bialski";;;;;;;;;;;;;91;99;84;80;69;72;92;73;86;73;62;59;66;76;
0601011;"Międzyrzec Podlaski (1)";;;;;;;;;;;;;;;;;;;;;;;;;7;6;
0601021;"Terespol (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0601032;"Biała Podlaska (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;12;
0601042;"Drelów (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;11;
0601052;"Janów Podlaski (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0601062;"Kodeń (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0601072;"Konstantynów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0601082;"Leśna Podlaska (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0601092;"Łomazy (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0601102;"Międzyrzec Podlaski (2)";;;;;;;;;;;;;;;;;;;;;;;;;13;8;
0601112;"Piszczac (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;;
0601113;"Piszczac (3)";;;;;;;;;;;;;;;;;;;;;;;;;;4;
0601122;"Rokitno (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0601132;"Rossosz (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0601142;"Sławatycze (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0601162;"Terespol (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0601172;"Tuczna (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0601182;"Wisznice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0601192;"Zalesie (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;0;
0602000;"Powiat biłgorajski";;;;;;;;;;;;;86;58;62;65;47;45;39;42;42;31;39;29;36;33;
0602011;"Biłgoraj (1)";;;;;;;;;;;;;;;;;;;;;;;;;10;10;
0602022;"Aleksandrów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0602032;"Biłgoraj (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0602042;"Biszcza (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0602053;"Frampol (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0602063;"Goraj (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0602073;"Józefów (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0602082;"Księżpol (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0602092;"Łukowa (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0602102;"Obsza (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0602112;"Potok Górny (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0602123;"Tarnogród (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;1;
0602132;"Tereszpol (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0602142;"Turobin (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;;
0602143;"Turobin (3)";;;;;;;;;;;;;;;;;;;;;;;;;;2;
0603000;"Powiat chełmski";;;;;;;;;;;;;51;68;60;48;48;46;41;45;49;35;35;29;29;26;
0603011;"Rejowiec Fabryczny (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0603032;"Chełm (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;7;
0603042;"Dorohusk (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0603062;"Kamień (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0603072;"Leśniowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
0603092;"Ruda-Huta (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0603102;"Sawin (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0603113;"Siedliszcze (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;4;
0603122;"Wierzbica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0603132;"Wojsławice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0603142;"Żmudź (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0603153;"Rejowiec (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0604000;"Powiat hrubieszowski";;;;;;;;;;;;;42;39;31;41;18;30;19;25;19;12;15;19;14;16;
0604011;"Hrubieszów (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
0604022;"Dołhobyczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0604042;"Hrubieszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;1;
0604052;"Mircze (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0604072;"Uchanie (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0604082;"Werbkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0605000;"Powiat janowski";;;;;;;;;;;;;42;34;49;41;39;41;38;30;42;27;28;19;21;14;
0605012;"Batorz (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0605022;"Chrzanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0605032;"Dzwola (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;2;
0605042;"Godziszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0605053;"Janów Lubelski (3)";;;;;;;;;;;;;;;;;;;;;;;;;10;6;
0605063;"Modliborzyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0605072;"Potok Wielki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0606000;"Powiat krasnostawski";;;;;;;;;;;;;41;35;37;40;31;25;41;43;47;22;22;28;23;37;
0606011;"Krasnystaw (1)";;;;;;;;;;;;;;;;;;;;;;;;;7;7;
0606022;"Fajsławice (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;4;
0606032;"Gorzków (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0606043;"Izbica (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0606052;"Krasnystaw (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;5;
0606062;"Kraśniczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0606072;"Łopiennik Górny (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0606092;"Rudnik (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0606102;"Siennica Różana (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0606112;"Żółkiewka (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;7;
0607000;"Powiat kraśnicki";;;;;;;;;;;;;121;94;96;77;69;72;66;62;64;65;39;27;39;41;
0607011;"Kraśnik (1)";;;;;;;;;;;;;;;;;;;;;;;;;16;14;
0607023;"Annopol (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0607032;"Dzierzkowice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0607042;"Gościeradów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0607052;"Kraśnik (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
0607062;"Szastarka (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0607072;"Trzydnik Duży (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0607083;"Urzędów (3)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0607092;"Wilkołaz (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
0607102;"Zakrzówek (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0608000;"Powiat lubartowski";;;;;;;;;;;;;71;65;64;46;46;41;42;40;33;41;38;23;15;21;
0608011;"Lubartów (1)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0608022;"Abramów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0608032;"Firlej (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0608053;"Kamionka (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0608063;"Kock (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0608072;"Lubartów (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;7;
0608082;"Michów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0608103;"Ostrów Lubelski (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0608112;"Ostrówek (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0608122;"Serniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0609000;"Powiat lubelski";;;;;;;;;;;;;169;134;140;129;89;109;120;111;114;80;94;73;59;61;
0609013;"Bełżyce (3)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0609033;"Bychawa (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;5;
0609042;"Garbów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0609052;"Głusk (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;3;
0609062;"Jabłonna (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0609072;"Jastków (2)";;;;;;;;;;;;;;;;;;;;;;;;;7;9;
0609082;"Konopnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;8;3;
0609092;"Krzczonów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0609102;"Niedrzwica Duża (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;5;
0609112;"Niemce (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;10;
0609122;"Strzyżewice (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0609132;"Wojciechów (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;2;
0609142;"Wólka (2)";;;;;;;;;;;;;;;;;;;;;;;;;6;7;
0609152;"Wysokie (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;3;
0609162;"Zakrzew (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0610000;"Powiat łęczyński";;;;;;;;;;;;;32;47;41;39;41;30;29;32;28;25;23;23;14;27;
0610012;"Cyców (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;3;
0610022;"Ludwin (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0610033;"Łęczna (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
0610042;"Milejów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;6;
0610052;"Puchaczów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0610062;"Spiczyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0611000;"Powiat łukowski";;;;;;;;;;;;;120;95;72;77;74;74;63;60;76;54;44;44;44;56;
0611011;"Łuków (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;10;
0611021;"Stoczek Łukowski (1)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0611032;"Adamów (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
0611042;"Krzywda (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;3;
0611052;"Łuków (2)";;;;;;;;;;;;;;;;;;;;;;;;;10;16;
0611062;"Serokomla (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0611072;"Stanin (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0611082;"Stoczek Łukowski (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0611092;"Trzebieszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
0611102;"Wojcieszków (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;5;
0611112;"Wola Mysłowska (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0612000;"Powiat opolski";;;;;;;;;;;;;38;26;41;45;39;38;33;32;24;17;17;20;16;17;
0612012;"Chodel (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0612023;"Józefów nad Wisłą (3)";;;;;;;;;;;;;;;;;;;;;;;;;0;5;
0612032;"Karczmiska (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0612042;"Łaziska (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0612053;"Opole Lubelskie (3)";;;;;;;;;;;;;;;;;;;;;;;;;12;3;
0612063;"Poniatowa (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;4;
0612072;"Wilków (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0613000;"Powiat parczewski";;;;;;;;;;;;;21;27;28;12;22;13;15;21;16;12;17;14;8;11;
0613012;"Dębowa Kłoda (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;2;
0613022;"Jabłoń (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0613032;"Milanów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;2;
0613043;"Parczew (3)";;;;;;;;;;;;;;;;;;;;;;;;;2;5;
0613062;"Siemień (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;1;
0613072;"Sosnowica (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0614000;"Powiat puławski";;;;;;;;;;;;;97;90;83;94;77;82;71;76;61;43;46;42;40;39;
0614011;"Puławy (1)";;;;;;;;;;;;;;;;;;;;;;;;;15;12;
0614022;"Baranów (2)";;;;;;;;;;;;;;;;;;;;;;;;;0;1;
0614032;"Janowiec (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;0;
0614043;"Kazimierz Dolny (3)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0614052;"Końskowola (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;8;
0614062;"Kurów (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
0614072;"Markuszów (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;1;
0614083;"Nałęczów (3)";;;;;;;;;;;;;;;;;;;;;;;;;5;4;
0614092;"Puławy (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
0614102;"Wąwolnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;0;
0614112;"Żyrzyn (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0615000;"Powiat radzyński";;;;;;;;;;;;;63;61;60;59;54;41;45;49;28;29;26;23;24;28;
0615011;"Radzyń Podlaski (1)";;;;;;;;;;;;;;;;;;;;;;;;;5;7;
0615022;"Borki (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;6;
0615032;"Czemierniki (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;;
0615033;"Czemierniki (3)";;;;;;;;;;;;;;;;;;;;;;;;;;3;
0615042;"Kąkolewnica (2)";;;;;;;;;;;;;;;;;;;;;;;;;2;2;
0615052;"Komarówka Podlaska (2)";;;;;;;;;;;;;;;;;;;;;;;;;5;0;
0615062;"Radzyń Podlaski (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;4;
0615072;"Ulan-Majorat (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0615082;"Wohyń (2)";;;;;;;;;;;;;;;;;;;;;;;;;1;3;
0616000;"Powiat rycki";;;;;;;;;;;;;72;71;58;52;59;66;48;50;60;40;38;25;32;22;
0616011;"Dęblin (1)";;;;;;;;;;;;;;;;;;;;;;;;;3;4;
0616022;"Kłoczew (2)";;;;;;;;;;;;;;;;;;;;;;;;;4;2;
0616032;"Nowodwór (2)";;;;;;;;;;;;;;;;;;;;;;;;;3;2;
